"filename", "language", "Shell Script", "Python", "pip requirements", "YAML", "comment", "blank", "total"
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_patient.py", "Python", 0, 51, 0, 0, 4, 26, 81
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_provider.py", "Python", 0, 42, 0, 0, 0, 12, 54
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_redirect.py", "Python", 0, 6, 0, 0, 0, 4, 10
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_task.py", "Python", 0, 36, 0, 0, 1, 14, 51
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/call_queue_processor.py", "Python", 0, 2, 0, 0, 0, 0, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/email_queue_processor.py", "Python", 0, 2, 0, 0, 0, 0, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/inbound_lab_reports.py", "Python", 0, 156, 0, 0, 23, 53, 232
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/outbound_lab_orders.py", "Python", 0, 2, 0, 0, 0, 0, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/report_notifications.py", "Python", 0, 74, 0, 0, 72, 26, 172
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/sms_queue_processor.py", "Python", 0, 24, 0, 0, 8, 6, 38
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/main.py", "Python", 0, 61, 0, 0, 5, 21, 87
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/requirements.txt", "pip requirements", 0, 0, 57, 0, 0, 1, 58
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/run.sh", "Shell Script", 1, 0, 0, 0, 0, 1, 2
"Total", "-", 1, 2264, 57, 164, 459, 773, 3718
